density,algorithm,total_runtime_seconds,number_of_realizations
0.1,general,0.2513373002584558,200
0.1,recursive_basis,0.49184090035851113,200
0.1,recursive_no_basis,0.10106479993555695,200
0.2,general,0.5256792999571189,200
0.2,recursive_basis,0.7771506001881789,200
0.2,recursive_no_basis,0.46742369976709597,200
0.3,general,0.8318804002483375,200
0.3,recursive_basis,1.2988257998949848,200
0.3,recursive_no_basis,0.7119420000817627,200
0.4,general,1.1583484000875615,200
0.4,recursive_basis,1.4769759002083447,200
0.4,recursive_no_basis,0.7944386999879498,200
0.5,general,1.4566708000784274,200
0.5,recursive_basis,1.6056586997874547,200
0.5,recursive_no_basis,0.8266441001615021,200
0.6,general,1.9253721004060935,200
0.6,recursive_basis,1.7346815002383664,200
0.6,recursive_no_basis,0.8860862002475187,200
0.7,general,2.239979499805486,200
0.7,recursive_basis,1.6430737000191584,200
0.7,recursive_no_basis,0.8501393002225086,200
0.8,general,3.22509630015702,200
0.8,recursive_basis,2.0792436998453923,200
0.8,recursive_no_basis,1.0398785000143107,200
0.9,general,3.4926628998073284,200
0.9,recursive_basis,1.7754617001628503,200
0.9,recursive_no_basis,0.7918175000231713,200
