density,algorithm,total_runtime_seconds,number_of_realizations
0.1,general,1.1208882997452747,200
0.1,recursive_basis,0.1265107000945136,200
0.1,recursive_no_basis,0.11233689967775717,200
0.2,general,4.568908500048565,200
0.2,recursive_basis,0.301976699847728,200
0.2,recursive_no_basis,0.21916930031147785,200
0.3,general,14.864815600099973,200
0.3,recursive_basis,2.282616200071061,200
0.3,recursive_no_basis,1.2748712002066895,200
0.4,general,38.26881129987305,200
0.4,recursive_basis,4.084202299796743,200
0.4,recursive_no_basis,1.929090299847303,200
0.5,general,83.58200210001087,200
0.5,recursive_basis,5.977958700270392,200
0.5,recursive_no_basis,2.1435736998391803,200
0.6,general,158.00444680001237,200
0.6,recursive_basis,7.695588899980066,200
0.6,recursive_no_basis,2.314020299789263,200
0.7,general,256.0156439000857,200
0.7,recursive_basis,8.341909999813652,200
0.7,recursive_no_basis,2.257393800187856,200
0.8,general,424.061985700042,200
0.8,recursive_basis,9.98756939987652,200
0.8,recursive_no_basis,1.9065069000935182,200
0.9,general,651.4667932000302,200
0.9,recursive_basis,11.066445899894461,200
0.9,recursive_no_basis,1.5791929999832064,200
