density,repetition,seed,algorithm,runtime_seconds,betti_number
0.1,0,1,general,0.0016846999933477491,0
0.1,0,1,recursive_basis,0.33862319999025203,0
0.1,0,1,recursive_no_basis,0.00043220000225119293,0
0.1,1,2,recursive_basis,0.028206000017235056,1
0.1,1,2,recursive_no_basis,0.0012178000179119408,1
0.1,1,2,general,0.0011476000072434545,1
0.1,2,3,recursive_no_basis,0.0009913999820128083,1
0.1,2,3,general,0.001132700010202825,1
0.1,2,3,recursive_basis,0.0024525000189896673,1
0.1,3,4,general,0.0012400999839883298,0
0.1,3,4,recursive_basis,0.00040049999370239675,0
0.1,3,4,recursive_no_basis,0.0003397999971639365,0
0.1,4,5,recursive_basis,0.00038690000656060874,0
0.1,4,5,recursive_no_basis,0.00034920001053251326,0
0.1,4,5,general,0.0013368999934755266,0
0.1,5,6,recursive_no_basis,0.00037750002229586244,0
0.1,5,6,general,0.0011528999893926084,0
0.1,5,6,recursive_basis,0.0003563000063877553,0
0.1,6,7,general,0.0011651000240817666,0
0.1,6,7,recursive_basis,0.0004162000259384513,0
0.1,6,7,recursive_no_basis,0.00033439998514950275,0
0.1,7,8,recursive_basis,0.0004966999986208975,0
0.1,7,8,recursive_no_basis,0.0003512999974191189,0
0.1,7,8,general,0.0012970000097993761,0
0.1,8,9,recursive_no_basis,0.0003853999951388687,0
0.1,8,9,general,0.001257600000826642,0
0.1,8,9,recursive_basis,0.0003634000022429973,0
0.1,9,10,general,0.0012157000019215047,0
0.1,9,10,recursive_basis,0.0004172000044491142,0
0.1,9,10,recursive_no_basis,0.0003267000138293952,0
0.1,10,11,recursive_basis,0.0003607999824453145,0
0.1,10,11,recursive_no_basis,0.00032240001019090414,0
0.1,10,11,general,0.0011555000091902912,0
0.1,11,12,recursive_no_basis,0.00039030000334605575,0
0.1,11,12,general,0.0012418999976944178,0
0.1,11,12,recursive_basis,0.0003926999925170094,0
0.1,12,13,general,0.0011608999921008945,0
0.1,12,13,recursive_basis,0.00040350001654587686,0
0.1,12,13,recursive_no_basis,0.0003496999852359295,0
0.1,13,14,recursive_basis,0.00036910001654177904,0
0.1,13,14,recursive_no_basis,0.00035519999801181257,0
0.1,13,14,general,0.0011867999855894595,0
0.1,14,15,recursive_no_basis,0.0007824000203981996,0
0.1,14,15,general,0.0013306000037118793,0
0.1,14,15,recursive_basis,0.00037719999090768397,0
0.1,15,16,general,0.0011842999956570566,1
0.1,15,16,recursive_basis,0.001967699994565919,1
0.1,15,16,recursive_no_basis,0.001038500020513311,1
0.1,16,17,recursive_basis,0.0003958999877795577,0
0.1,16,17,recursive_no_basis,0.0003558000025805086,0
0.1,16,17,general,0.0012581999762915075,0
0.1,17,18,recursive_no_basis,0.0010550000006332994,1
0.1,17,18,general,0.0011601000151131302,1
0.1,17,18,recursive_basis,0.0017748000100255013,1
0.1,18,19,general,0.0012472000089474022,0
0.1,18,19,recursive_basis,0.0004214000073261559,0
0.1,18,19,recursive_no_basis,0.0003491999814286828,0
0.1,19,20,recursive_basis,0.00046609999844804406,0
0.1,19,20,recursive_no_basis,0.0003375000087544322,0
0.1,19,20,general,0.001200700004119426,0
0.1,20,21,recursive_no_basis,0.0004236999957356602,0
0.1,20,21,general,0.0012600999907590449,0
0.1,20,21,recursive_basis,0.0003761999832931906,0
0.1,21,22,general,0.001253900001756847,0
0.1,21,22,recursive_basis,0.00042039999971166253,0
0.1,21,22,recursive_no_basis,0.0003519999736454338,0
0.1,22,23,recursive_basis,0.000374700000975281,0
0.1,22,23,recursive_no_basis,0.00035110002500005066,0
0.1,22,23,general,0.0012476000119931996,0
0.1,23,24,recursive_no_basis,0.00037299998803064227,0
0.1,23,24,general,0.0011076999944634736,0
0.1,23,24,recursive_basis,0.00035030001890845597,0
0.1,24,25,general,0.0012100000167265534,0
0.1,24,25,recursive_basis,0.0004094999749213457,0
0.1,24,25,recursive_no_basis,0.00033340000663883984,0
0.1,25,26,recursive_basis,0.0003792000061366707,0
0.1,25,26,recursive_no_basis,0.0003394999948795885,0
0.1,25,26,general,0.0012177000171504915,0
0.1,26,27,recursive_no_basis,0.0008657999860588461,0
