density,repetition,seed,algorithm,tracemalloc_peak_mib,tracemalloc_current_mib,tracemalloc_peak_minus_current_mib,tracemalloc_overhead_mib,runtime_seconds_with_tracing,betti_number
0.1,0,1,general,0.07880973815917969,0.025289535522460938,0.05352020263671875,0.054718017578125,0.0500395999988541,0
0.1,0,1,recursive_basis,21.627685546875,21.596179008483887,0.03150653839111328,9.9111328125,1.0241313999867998,0
0.1,0,1,recursive_no_basis,21.62537670135498,21.593804359436035,0.03157234191894531,9.90966796875,1.0507481999811716,0
0.1,1,2,recursive_basis,21.62793254852295,21.594375610351562,0.03355693817138672,9.91033935546875,0.9942251000029501,0
0.1,1,2,recursive_no_basis,21.626754760742188,21.59326934814453,0.03348541259765625,9.909759521484375,1.029736900003627,0
0.1,1,2,general,0.07887458801269531,0.026132583618164062,0.05274200439453125,0.06512451171875,0.05308869999134913,0
0.1,2,3,recursive_no_basis,21.629987716674805,21.598074913024902,0.031912803649902344,9.9124755859375,1.0154161999817006,0
0.1,2,3,general,0.07533931732177734,0.025403976440429688,0.049935340881347656,0.05401611328125,0.042819199996301904,0
0.1,2,3,recursive_basis,21.62698459625244,21.59503936767578,0.031945228576660156,9.91058349609375,1.0174353999900632,0
0.1,3,4,general,0.07795333862304688,0.027637481689453125,0.05031585693359375,0.055877685546875,0.05081210000207648,0
0.1,3,4,recursive_basis,21.62767791748047,21.598838806152344,0.028839111328125,9.911834716796875,0.9816817000100855,0
0.1,3,4,recursive_no_basis,21.626694679260254,21.597861289978027,0.028833389282226562,9.911285400390625,1.0015914000105113,0
0.1,4,5,recursive_basis,21.627748489379883,21.5986385345459,0.029109954833984375,9.911468505859375,1.0212809999939054,0
0.1,4,5,recursive_no_basis,21.628087997436523,21.598937034606934,0.029150962829589844,9.911773681640625,1.001390099991113,0
0.1,4,5,general,0.08314990997314453,0.02962207794189453,0.05352783203125,0.056884765625,0.05409510000026785,0
0.1,5,6,recursive_no_basis,21.62697696685791,21.59877586364746,0.02820110321044922,9.911407470703125,1.036551800003508,0
0.1,5,6,general,0.08490467071533203,0.030691146850585938,0.054213523864746094,0.057464599609375,0.06815570002072491,0
0.1,5,6,recursive_basis,21.629307746887207,21.601059913635254,0.028247833251953125,9.912933349609375,1.0094470999902114,0
0.1,6,7,general,0.07461166381835938,0.024034500122070312,0.05057716369628906,0.050994873046875,0.04544210000312887,0
