density,repetition,seed,algorithm,tracemalloc_peak_mib,tracemalloc_current_mib,tracemalloc_peak_minus_current_mib,tracemalloc_overhead_mib,runtime_seconds_with_tracing,betti_number
0.1,0,1,general,0.033111572265625,0.01425933837890625,0.01885223388671875,0.02886962890625,0.023301100009121,0
0.1,0,1,recursive_basis,21.615736961364746,21.587635040283203,0.02810192108154297,9.90863037109375,1.1799558000057004,0
0.1,0,1,recursive_no_basis,21.614741325378418,21.586499214172363,0.028242111206054688,9.90802001953125,1.1354447999910917,0
0.1,1,2,recursive_basis,23.350337028503418,23.34236717224121,0.007969856262207031,10.367919921875,1.4400810000079218,1
0.1,1,2,recursive_no_basis,21.625225067138672,21.588638305664062,0.036586761474609375,9.92193603515625,1.1662149999756366,1
0.1,1,2,general,0.030190467834472656,0.013586044311523438,0.01660442352294922,0.02850341796875,0.008498700015479699,1
0.1,2,3,recursive_no_basis,21.626659393310547,21.588480949401855,0.038178443908691406,9.921234130859375,1.0614741000172216,1
0.1,2,3,general,0.031585693359375,0.013967514038085938,0.017618179321289062,0.028717041015625,0.014209400018444285,1
0.1,2,3,recursive_basis,23.36001491546631,23.351876258850098,0.008138656616210938,10.37298583984375,1.264130599971395,1
0.1,3,4,general,0.03269481658935547,0.014224052429199219,0.01847076416015625,0.028839111328125,0.012780000019120052,0
0.1,3,4,recursive_basis,21.612399101257324,21.583877563476562,0.02852153778076172,9.90673828125,1.1329227999958675,0
0.1,3,4,recursive_no_basis,21.611645698547363,21.58315086364746,0.028494834899902344,9.906036376953125,1.0666903000092134,0
0.1,4,5,recursive_basis,21.6138973236084,21.586400985717773,0.027496337890625,9.907623291015625,1.069560600008117,0
0.1,4,5,recursive_no_basis,21.61103057861328,21.58356285095215,0.027467727661132812,9.905975341796875,1.0888768000004347,0
0.1,4,5,general,0.03462696075439453,0.015011787414550781,0.01961517333984375,0.029266357421875,0.011680700001306832,0
0.1,5,6,recursive_no_basis,21.612975120544434,21.584104537963867,0.028870582580566406,9.906890869140625,1.0512370000069495,0
0.1,5,6,general,0.03178215026855469,0.013692855834960938,0.01808929443359375,0.028564453125,0.010888499993598089,0
0.1,5,6,recursive_basis,21.611474990844727,21.582758903503418,0.028716087341308594,9.906097412109375,1.021412700007204,0
0.1,6,7,general,0.03156566619873047,0.013506889343261719,0.01805877685546875,0.028472900390625,0.010217000002739951,0
0.1,6,7,recursive_basis,21.613438606262207,21.584674835205078,0.028763771057128906,9.907318115234375,1.0522824000217952,0
0.1,6,7,recursive_no_basis,21.613001823425293,21.584192276000977,0.028809547424316406,9.90704345703125,1.0570157000038307,0
0.1,7,8,recursive_basis,21.613200187683105,21.584333419799805,0.02886676788330078,9.90704345703125,1.0653452999831643,0
0.1,7,8,recursive_no_basis,21.612071990966797,21.583112716674805,0.028959274291992188,9.90631103515625,1.0614611000055447,0
0.1,7,8,general,0.03224754333496094,0.014188766479492188,0.01805877685546875,0.02880859375,0.010325999988708645,0
0.1,8,9,recursive_no_basis,21.612152099609375,21.583139419555664,0.029012680053710938,9.9061279296875,1.0460527000250295,0
0.1,8,9,general,0.03175544738769531,0.013696670532226562,0.01805877685546875,0.02862548828125,0.010689599992474541,0
0.1,8,9,recursive_basis,21.61134433746338,21.582666397094727,0.028677940368652344,9.90191650390625,1.0582442999875639,0
0.1,9,10,general,0.03227806091308594,0.014188766479492188,0.01808929443359375,0.02880859375,0.010225099977105856,0
0.1,9,10,recursive_basis,21.611955642700195,21.58305072784424,0.02890491485595703,9.90643310546875,1.0530194000166375,0
0.1,9,10,recursive_no_basis,21.612980842590332,21.584267616271973,0.028713226318359375,9.906890869140625,1.0518182000087108,0
0.2,0,1,general,0.04805278778076172,0.016341209411621094,0.031711578369140625,0.030120849609375,0.02221379999537021,3
