density,algorithm,tracemalloc_peak_mean_mib,tracemalloc_peak_sd_mib,tracemalloc_peak_median_mib,tracemalloc_peak_q1_mib,tracemalloc_peak_q3_mib,tracemalloc_peak_max_mib,number_of_realizations
0.1,general,0.06344184875488282,0.0027693573596240073,0.06359481811523438,0.060892581939697266,0.0646216869354248,0.06822872161865234,10
0.1,recursive_basis,21.623377418518068,0.0010623940635812999,21.623212337493896,21.62265944480896,21.62379240989685,21.625329971313477,10
0.1,recursive_no_basis,21.624628734588622,0.0014985902822677404,21.624459266662598,21.623523473739624,21.625799417495728,21.62696933746338,10
0.2,general,0.14111680984497071,0.015455476944715605,0.1385350227355957,0.1362013816833496,0.15171074867248535,0.1623086929321289,10
0.2,recursive_basis,21.629193687438963,0.0009468520389250405,21.629305362701416,21.628552198410034,21.629822492599487,21.63044261932373,10
0.2,recursive_no_basis,21.629230117797853,0.0014274471239814116,21.629173755645752,21.628159284591675,21.630074977874756,21.631616592407227,10
0.3,general,0.3529557228088379,0.040992767035827986,0.3416428565979004,0.33661985397338867,0.3667619228363037,0.4212064743041992,10
0.3,recursive_basis,23.45930643081665,0.024956905315977974,23.462684154510498,23.448067665100098,23.470613479614258,23.49481201171875,10
0.3,recursive_no_basis,21.669971561431886,0.0015566649061343801,21.66969108581543,21.668696880340576,21.67106342315674,21.67300033569336,10
0.4,general,0.7677859306335449,0.04210675252170982,0.7736907005310059,0.7665486335754395,0.7906084060668945,0.8193235397338867,10
0.4,recursive_basis,23.565252685546874,0.019687157061727228,23.56405210494995,23.556479692459106,23.56728458404541,23.601577758789062,10
0.4,recursive_no_basis,21.697579669952393,0.008068180021665514,21.697564125061035,21.693224906921387,21.698932647705078,21.71347141265869,10
0.5,general,1.5671744346618652,0.11545609346737015,1.5707168579101562,1.5192086696624756,1.6619205474853516,1.6989049911499023,10
0.5,recursive_basis,23.663326263427734,0.01846950609794294,23.65949583053589,23.651572704315186,23.6680109500885,23.709263801574707,10
0.5,recursive_no_basis,21.7652756690979,0.023865389354743693,21.759337902069092,21.754228830337524,21.770228624343872,21.818055152893066,10
0.6,general,3.3156895637512207,0.19067898904035013,3.3369193077087402,3.302476644515991,3.420968770980835,3.505343437194824,10
0.6,recursive_basis,23.792312145233154,0.030181108161721388,23.78475570678711,23.780272722244263,23.813788414001465,23.837803840637207,10
0.6,recursive_no_basis,21.842484760284425,0.04709131173973954,21.828546047210693,21.8113751411438,21.870078086853027,21.9437313079834,10
0.7,general,5.986569213867187,0.1415294508823014,5.947644233703613,5.9251604080200195,5.980956315994263,6.3581647872924805,10
0.7,recursive_basis,23.858822345733643,0.028841239637371018,23.86072874069214,23.830583572387695,23.87455987930298,23.91023540496826,10
0.7,recursive_no_basis,21.86462755203247,0.12603988148369688,21.857009887695312,21.773743152618408,21.88333773612976,22.1498441696167,10
0.8,general,10.21047420501709,0.10584254845099644,10.207643985748291,10.154694318771362,10.2423837184906,10.46025562286377,10
0.8,recursive_basis,23.947303295135498,0.02016206512307479,23.945448398590088,23.93498396873474,23.964717149734497,23.973052978515625,10
0.8,recursive_no_basis,21.784553241729736,0.0651293379101972,21.750320434570312,21.747958183288574,21.77522850036621,21.916410446166992,10
0.9,general,16.147093200683592,0.060054262346849754,16.164891242980957,16.111551761627197,16.186896085739136,16.2349271774292,10
0.9,recursive_basis,24.06919221878052,0.012681618270608612,24.064226627349854,24.06086277961731,24.075891971588135,24.090641021728516,10
0.9,recursive_no_basis,21.76728391647339,0.011924277646947605,21.76260805130005,21.760464906692505,21.76485276222229,21.79139804840088,10
