density,repetition,seed,algorithm,runtime_seconds,betti_number
0.1,36,37,general,0.00919640000211075,0
0.1,36,37,recursive_basis,0.0005155999970156699,0
0.1,36,37,recursive_no_basis,0.0005076999950688332,0
0.1,37,38,recursive_basis,0.0008575000101700425,0
0.1,37,38,recursive_no_basis,0.0005839999939780682,0
0.1,37,38,general,0.0086629000143148,0
0.1,38,39,recursive_no_basis,0.0005167999770492315,0
0.1,38,39,general,0.007971899991389364,0
0.1,38,39,recursive_basis,0.0005535999953281134,0
0.1,39,40,general,0.008692999981576577,0
0.1,39,40,recursive_basis,0.000532899983227253,0
0.1,39,40,recursive_no_basis,0.0005130999779794365,0
0.1,40,41,recursive_basis,0.000527900003362447,0
0.1,40,41,recursive_no_basis,0.0005041999975219369,0
0.1,40,41,general,0.018282499979250133,0
0.1,41,42,recursive_no_basis,0.0005739000043831766,0
0.1,41,42,general,0.011677600006805733,0
0.1,41,42,recursive_basis,0.0006167000101413578,0
0.1,42,43,general,0.0069649999786634,0
0.1,42,43,recursive_basis,0.0005944999866187572,0
0.1,42,43,recursive_no_basis,0.000544599985005334,0
0.1,43,44,recursive_basis,0.0004870999837294221,0
0.1,43,44,recursive_no_basis,0.0004568000149447471,0
0.1,43,44,general,0.008797400019830093,0
0.1,44,45,recursive_no_basis,0.0004971000016666949,0
0.1,44,45,general,0.0068721999996341765,0
0.1,44,45,recursive_basis,0.0004883999936282635,0
0.1,45,46,general,0.008506200014380738,0
0.1,45,46,recursive_basis,0.000538399996003136,0
0.1,45,46,recursive_no_basis,0.0005130000063218176,0
0.1,46,47,recursive_basis,0.0004927999980282038,0
0.1,46,47,recursive_no_basis,0.0004673000075854361,0
0.1,46,47,general,0.006871199992019683,0
0.1,47,48,recursive_no_basis,0.003333300002850592,0
0.1,47,48,general,0.009647300001233816,0
0.1,47,48,recursive_basis,0.0027322999958414584,0
0.1,48,49,general,0.007137499982491136,0
0.1,48,49,recursive_basis,0.0005655999993905425,0
0.1,48,49,recursive_no_basis,0.000658300006762147,0
0.1,49,50,recursive_basis,0.0005516000092029572,0
0.1,49,50,recursive_no_basis,0.0005419999943114817,0
0.1,49,50,general,0.006957000005058944,0
0.1,50,51,recursive_no_basis,0.000527299998793751,0
0.1,50,51,general,0.009278999990783632,0
0.1,50,51,recursive_basis,0.0006110999966040254,0
0.1,51,52,general,0.0071610000159125775,0
0.1,51,52,recursive_basis,0.0005550000059884042,0
0.1,51,52,recursive_no_basis,0.0008858999935910106,0
0.1,52,53,recursive_basis,0.0005133999802637845,0
0.1,52,53,recursive_no_basis,0.0004896000027656555,0
0.1,52,53,general,0.012912000005599111,0
0.1,53,54,recursive_no_basis,0.0005646999925374985,0
0.1,53,54,general,0.005916200025239959,0
0.1,53,54,recursive_basis,0.002974500006530434,0
0.1,54,55,general,0.008891699981177226,0
0.1,54,55,recursive_basis,0.0005913999921176583,0
0.1,54,55,recursive_no_basis,0.0005919999966863543,0
0.1,55,56,recursive_basis,0.000539699976798147,0
0.1,55,56,recursive_no_basis,0.000525100011145696,0
0.1,55,56,general,0.021148900006664917,0
0.1,56,57,recursive_no_basis,0.0005254000134300441,0
0.1,56,57,general,0.007442900008754805,0
0.1,56,57,recursive_basis,0.000519299996085465,0
0.1,57,58,general,0.008020200009923428,0
0.1,57,58,recursive_basis,0.0006334999925456941,0
