density,algorithm,total_runtime_seconds,number_of_realizations
0.1,general,1.9013253000739496,200
0.1,recursive_basis,0.1470097998098936,200
0.1,recursive_no_basis,0.1488255998119712,200
0.2,general,12.35861220001243,200
0.2,recursive_basis,0.20236930003738962,200
0.2,recursive_no_basis,0.28281380006228574,200
0.3,general,42.270048200152814,200
0.3,recursive_basis,0.3284737000649329,200
0.3,recursive_no_basis,0.3096755000005942,200
0.4,general,167.12397929979488,200
0.4,recursive_basis,2.304689000127837,200
0.4,recursive_no_basis,1.4356613999116234,200
0.5,general,484.2396013001562,200
0.5,recursive_basis,4.707769400120014,200
0.5,recursive_no_basis,1.999732300027972,200
0.6,general,1243.570104899729,200
0.6,recursive_basis,8.132883799728006,200
0.6,recursive_no_basis,2.470216100278776,200
0.7,general,2827.90707320004,200
0.7,recursive_basis,13.142499800072983,200
0.7,recursive_no_basis,2.7944772999035195,200
0.8,general,5675.255581399833,200
0.8,recursive_basis,17.70135530002881,200
0.8,recursive_no_basis,2.5517836002109107,200
0.9,general,11274.305125599727,200
0.9,recursive_basis,25.072200600261567,200
0.9,recursive_no_basis,1.9644258001062553,200
